,Aracade_Game,Adventure_Game,Game,Proficiency
270,YES,YES,GAME_2,LEVEL_2
271,YES,YES,GAME_1,LEVEL_2
272,YES,YES,GAME_1,LEVEL_2
273,YES,YES,GAME_3,LEVEL_2
274,YES,YES,GAME_1,LEVEL_2
275,NO,YES,GAME_1,LEVEL_4
276,YES,YES,GAME_2,LEVEL_2
277,YES,YES,GAME_3,LEVEL_2
278,YES,YES,GAME_2,LEVEL_2
279,YES,YES,GAME_3,LEVEL_2
280,YES,YES,GAME_3,LEVEL_2
281,YES,YES,GAME_2,LEVEL_2
282,YES,YES,GAME_3,LEVEL_2
283,YES,YES,GAME_2,LEVEL_2
284,YES,YES,GAME_1,LEVEL_2
285,YES,YES,GAME_1,LEVEL_2
286,YES,YES,GAME_3,LEVEL_2
287,NO,YES,GAME_3,LEVEL_2
288,YES,YES,GAME_2,LEVEL_2
289,YES,YES,GAME_1,LEVEL_2
290,YES,YES,GAME_2,LEVEL_2
291,YES,YES,GAME_4,LEVEL_2
292,YES,YES,GAME_4,LEVEL_2
293,NO,YES,GAME_1,LEVEL_4
294,YES,YES,GAME_1,LEVEL_2
295,YES,YES,GAME_4,LEVEL_2
296,YES,YES,GAME_1,LEVEL_2
297,NO,YES,GAME_1,LEVEL_4
298,YES,YES,GAME_1,LEVEL_2
299,YES,YES,GAME_1,LEVEL_2
300,YES,YES,GAME_3,LEVEL_2
301,YES,YES,GAME_1,LEVEL_2
302,YES,YES,GAME_1,LEVEL_2
303,YES,YES,GAME_1,LEVEL_2
304,YES,YES,GAME_3,LEVEL_2
305,YES,YES,GAME_1,LEVEL_2
306,YES,YES,GAME_1,LEVEL_2
307,YES,YES,GAME_1,LEVEL_2
308,YES,YES,GAME_3,LEVEL_2
309,YES,YES,GAME_1,LEVEL_2
310,YES,YES,GAME_3,LEVEL_2
311,YES,YES,GAME_1,LEVEL_2
312,NO,YES,GAME_1,LEVEL_4
313,YES,YES,GAME_1,LEVEL_2
314,YES,YES,GAME_1,LEVEL_2
315,YES,YES,GAME_2,LEVEL_2
316,YES,YES,GAME_1,LEVEL_2
317,NO,YES,GAME_3,LEVEL_2
318,YES,YES,GAME_1,LEVEL_2
319,YES,YES,GAME_3,LEVEL_2
320,YES,YES,GAME_3,LEVEL_2
321,YES,YES,GAME_3,LEVEL_2
322,YES,YES,GAME_3,LEVEL_2
323,YES,YES,GAME_1,LEVEL_2
324,NO,YES,GAME_2,LEVEL_2
325,YES,YES,GAME_1,LEVEL_2
326,YES,YES,GAME_3,LEVEL_2
327,YES,YES,GAME_3,LEVEL_2
328,NO,YES,GAME_1,LEVEL_4
329,NO,YES,GAME_3,LEVEL_2
330,NO,YES,GAME_1,LEVEL_4
331,YES,YES,GAME_3,LEVEL_2
332,YES,YES,GAME_1,LEVEL_2
333,YES,YES,GAME_3,LEVEL_2
334,YES,YES,GAME_3,LEVEL_2
335,YES,YES,GAME_3,LEVEL_2
336,YES,YES,GAME_3,LEVEL_2
337,NO,YES,GAME_3,LEVEL_2
338,NO,YES,GAME_3,LEVEL_2
339,YES,YES,GAME_2,LEVEL_2
340,NO,YES,GAME_1,LEVEL_4
341,NO,YES,GAME_3,LEVEL_2
342,NO,YES,GAME_1,LEVEL_4
343,YES,YES,GAME_2,LEVEL_2
344,YES,YES,GAME_1,LEVEL_2
345,YES,YES,GAME_3,LEVEL_2
346,NO,YES,GAME_1,LEVEL_4
347,NO,YES,GAME_1,LEVEL_4
348,NO,YES,GAME_3,LEVEL_2
349,NO,YES,GAME_3,LEVEL_2
350,NO,YES,GAME_1,LEVEL_4
351,NO,YES,GAME_3,LEVEL_2
352,NO,YES,GAME_3,LEVEL_2
353,NO,YES,GAME_3,LEVEL_2
354,NO,YES,GAME_1,LEVEL_4
355,NO,YES,GAME_2,LEVEL_2
356,NO,YES,GAME_1,LEVEL_4
357,NO,YES,GAME_2,LEVEL_2
358,YES,YES,GAME_1,LEVEL_2
359,YES,YES,GAME_3,LEVEL_2
360,NO,NO,GAME_3,LEVEL_2
361,NO,YES,GAME_3,LEVEL_2
362,YES,YES,GAME_1,LEVEL_2
363,YES,YES,GAME_2,LEVEL_2
364,YES,YES,GAME_3,LEVEL_2
365,NO,YES,GAME_1,LEVEL_4
366,NO,YES,GAME_3,LEVEL_2
367,NO,YES,GAME_3,LEVEL_2
368,NO,YES,GAME_1,LEVEL_4
369,NO,YES,GAME_1,LEVEL_4
370,NO,YES,GAME_1,LEVEL_4
371,YES,YES,GAME_3,LEVEL_2
372,NO,YES,GAME_3,LEVEL_2
373,NO,YES,GAME_1,LEVEL_4
374,YES,YES,GAME_3,LEVEL_2
375,NO,YES,GAME_1,LEVEL_4
376,YES,YES,GAME_2,LEVEL_2
377,NO,YES,GAME_2,LEVEL_2
378,NO,YES,GAME_1,LEVEL_4
379,NO,YES,GAME_1,LEVEL_4
380,NO,YES,GAME_1,LEVEL_4
381,NO,YES,GAME_1,LEVEL_4
382,NO,YES,GAME_3,LEVEL_2
383,YES,YES,GAME_1,LEVEL_2
384,NO,YES,GAME_1,LEVEL_4
385,YES,YES,GAME_2,LEVEL_2
386,YES,YES,GAME_3,LEVEL_2
387,NO,YES,GAME_2,LEVEL_2
388,NO,YES,GAME_1,LEVEL_4
389,NO,YES,GAME_1,LEVEL_4
390,NO,YES,GAME_2,LEVEL_2
391,NO,YES,GAME_3,LEVEL_2
392,YES,YES,GAME_3,LEVEL_2
393,YES,YES,GAME_2,LEVEL_2
394,NO,YES,GAME_1,LEVEL_4
395,NO,YES,GAME_1,LEVEL_4
396,NO,YES,GAME_2,LEVEL_2
397,NO,YES,GAME_3,LEVEL_2
398,YES,YES,GAME_3,LEVEL_2
399,NO,YES,GAME_1,LEVEL_4
400,NO,YES,GAME_2,LEVEL_2
401,NO,YES,GAME_3,LEVEL_2
402,YES,YES,GAME_2,LEVEL_2
403,NO,YES,GAME_2,LEVEL_2
404,YES,YES,GAME_2,LEVEL_2
405,NO,YES,GAME_1,LEVEL_4
406,YES,YES,GAME_2,LEVEL_2
407,YES,YES,GAME_1,LEVEL_2
408,NO,YES,GAME_1,LEVEL_4
409,NO,YES,GAME_3,LEVEL_2
410,YES,YES,GAME_2,LEVEL_2
411,NO,YES,GAME_3,LEVEL_2
412,NO,NO,GAME_3,LEVEL_2
413,NO,YES,GAME_3,LEVEL_2
414,NO,YES,GAME_3,LEVEL_2
415,YES,YES,GAME_1,LEVEL_2
416,YES,YES,GAME_1,LEVEL_2
417,YES,YES,GAME_2,LEVEL_2
418,YES,YES,GAME_3,LEVEL_2
419,NO,YES,GAME_1,LEVEL_4
420,NO,YES,GAME_3,LEVEL_2
421,NO,NO,GAME_3,LEVEL_2
422,NO,YES,GAME_3,LEVEL_2
423,YES,YES,GAME_3,LEVEL_2
424,NO,YES,GAME_1,LEVEL_4
425,NO,YES,GAME_1,LEVEL_4
426,NO,YES,GAME_1,LEVEL_4
427,NO,YES,GAME_1,LEVEL_4
428,YES,YES,GAME_3,LEVEL_2
429,NO,NO,GAME_1,LEVEL_4
430,YES,YES,GAME_2,LEVEL_2
431,NO,YES,GAME_1,LEVEL_4
432,NO,YES,GAME_3,LEVEL_2
433,NO,YES,GAME_1,LEVEL_4
434,NO,YES,GAME_1,LEVEL_4
435,NO,YES,GAME_1,LEVEL_4
436,NO,YES,GAME_1,LEVEL_4
437,NO,YES,GAME_3,LEVEL_2
438,NO,YES,GAME_3,LEVEL_2
439,NO,YES,GAME_1,LEVEL_4
440,YES,YES,GAME_2,LEVEL_2
441,NO,YES,GAME_1,LEVEL_4
442,YES,YES,GAME_1,LEVEL_2
443,NO,YES,GAME_1,LEVEL_4
444,NO,YES,GAME_4,LEVEL_3
445,NO,YES,GAME_1,LEVEL_4
446,NO,YES,GAME_3,LEVEL_2
447,NO,YES,GAME_1,LEVEL_4
448,YES,YES,GAME_3,LEVEL_2
449,NO,YES,GAME_2,LEVEL_2
450,YES,YES,GAME_2,LEVEL_2
451,NO,YES,GAME_1,LEVEL_4
452,NO,YES,GAME_1,LEVEL_4
453,NO,YES,GAME_1,LEVEL_4
454,NO,NO,GAME_3,LEVEL_2
455,NO,YES,GAME_2,LEVEL_2
456,YES,YES,GAME_1,LEVEL_2
457,NO,YES,GAME_1,LEVEL_4
458,NO,YES,GAME_1,LEVEL_4
459,YES,YES,GAME_1,LEVEL_2
460,NO,YES,GAME_1,LEVEL_4
461,NO,YES,GAME_3,LEVEL_2
462,NO,YES,GAME_2,LEVEL_2
463,NO,YES,GAME_2,LEVEL_2
464,NO,YES,GAME_1,LEVEL_4
465,NO,YES,GAME_1,LEVEL_4
466,NO,YES,GAME_1,LEVEL_4
467,YES,YES,GAME_1,LEVEL_2
468,NO,YES,GAME_1,LEVEL_4
469,YES,YES,GAME_4,LEVEL_2
470,NO,YES,GAME_2,LEVEL_2
471,NO,YES,GAME_1,LEVEL_4
472,NO,YES,GAME_2,LEVEL_2
473,YES,YES,GAME_1,LEVEL_2
474,NO,YES,GAME_1,LEVEL_4
475,NO,YES,GAME_3,LEVEL_2
476,NO,YES,GAME_1,LEVEL_4
477,NO,YES,GAME_1,LEVEL_4
478,NO,YES,GAME_3,LEVEL_2
479,NO,YES,GAME_1,LEVEL_4
480,NO,YES,GAME_1,LEVEL_4
481,NO,YES,GAME_3,LEVEL_2
482,NO,YES,GAME_2,LEVEL_2
483,NO,YES,GAME_2,LEVEL_2
484,NO,YES,GAME_4,LEVEL_3
485,NO,YES,GAME_1,LEVEL_4
486,NO,YES,GAME_2,LEVEL_2
487,NO,YES,GAME_1,LEVEL_4
488,NO,YES,GAME_1,LEVEL_4
489,NO,YES,GAME_2,LEVEL_2
490,NO,YES,GAME_1,LEVEL_4
491,NO,YES,GAME_1,LEVEL_4
492,NO,YES,GAME_3,LEVEL_2
493,NO,YES,GAME_2,LEVEL_2
494,NO,NO,GAME_1,LEVEL_4
495,NO,YES,GAME_3,LEVEL_2
496,NO,YES,GAME_3,LEVEL_2
497,NO,YES,GAME_1,LEVEL_4
498,NO,YES,GAME_1,LEVEL_4
499,NO,YES,GAME_1,LEVEL_4
500,NO,YES,GAME_1,LEVEL_4
501,NO,YES,GAME_2,LEVEL_2
502,NO,YES,GAME_1,LEVEL_4
503,NO,YES,GAME_1,LEVEL_4
504,NO,YES,GAME_3,LEVEL_2
505,NO,YES,GAME_2,LEVEL_2
506,NO,YES,GAME_2,LEVEL_2
507,NO,YES,GAME_1,LEVEL_4
508,NO,YES,GAME_1,LEVEL_4
509,NO,YES,GAME_3,LEVEL_2
510,NO,YES,GAME_3,LEVEL_2
511,NO,YES,GAME_3,LEVEL_2
512,YES,YES,GAME_1,LEVEL_2
513,NO,YES,GAME_2,LEVEL_2
514,YES,YES,GAME_3,LEVEL_2
515,NO,YES,GAME_1,LEVEL_4
516,NO,YES,GAME_3,LEVEL_2
517,NO,YES,GAME_3,LEVEL_2
518,NO,YES,GAME_1,LEVEL_4
519,NO,YES,GAME_2,LEVEL_2
520,NO,YES,GAME_4,LEVEL_3
521,NO,YES,GAME_1,LEVEL_4
522,NO,YES,GAME_1,LEVEL_4
523,NO,YES,GAME_3,LEVEL_2
524,NO,YES,GAME_1,LEVEL_4
525,NO,YES,GAME_2,LEVEL_2
526,NO,YES,GAME_3,LEVEL_2
527,NO,YES,GAME_1,LEVEL_4
528,NO,YES,GAME_2,LEVEL_2
529,NO,YES,GAME_3,LEVEL_2
530,NO,YES,GAME_2,LEVEL_2
531,NO,YES,GAME_3,LEVEL_2
532,NO,YES,GAME_1,LEVEL_4
533,NO,YES,GAME_1,LEVEL_4
534,NO,YES,GAME_3,LEVEL_2
535,NO,YES,GAME_1,LEVEL_4
536,NO,YES,GAME_3,LEVEL_2
537,NO,YES,GAME_2,LEVEL_2
538,NO,YES,GAME_1,LEVEL_4
539,NO,YES,GAME_1,LEVEL_4
540,NO,YES,GAME_1,LEVEL_4
541,YES,YES,GAME_1,LEVEL_2
542,NO,YES,GAME_1,LEVEL_4
543,NO,YES,GAME_2,LEVEL_2
544,NO,YES,GAME_1,LEVEL_4
545,NO,YES,GAME_3,LEVEL_2
546,NO,YES,GAME_3,LEVEL_2
547,NO,YES,GAME_3,LEVEL_2
548,NO,YES,GAME_2,LEVEL_2
549,YES,YES,GAME_2,LEVEL_2
550,NO,YES,GAME_1,LEVEL_4
551,NO,YES,GAME_3,LEVEL_2
552,YES,YES,GAME_1,LEVEL_2
553,YES,YES,GAME_1,LEVEL_2
554,NO,YES,GAME_3,LEVEL_2
555,NO,YES,GAME_3,LEVEL_2
556,NO,YES,GAME_1,LEVEL_4
557,NO,YES,GAME_3,LEVEL_2
558,NO,YES,GAME_2,LEVEL_2
559,NO,YES,GAME_1,LEVEL_4
560,NO,YES,GAME_1,LEVEL_4
561,YES,YES,GAME_1,LEVEL_2
562,NO,YES,GAME_3,LEVEL_2
563,NO,YES,GAME_1,LEVEL_4
564,NO,YES,GAME_1,LEVEL_4
565,NO,YES,GAME_3,LEVEL_2
566,NO,YES,GAME_2,LEVEL_2
567,NO,YES,GAME_2,LEVEL_2
568,NO,YES,GAME_4,LEVEL_3
569,NO,YES,GAME_1,LEVEL_4
570,NO,YES,GAME_1,LEVEL_4
571,NO,YES,GAME_3,LEVEL_2
572,NO,YES,GAME_3,LEVEL_2
573,NO,YES,GAME_1,LEVEL_4
574,NO,YES,GAME_1,LEVEL_4
575,YES,YES,GAME_1,LEVEL_2
576,NO,YES,GAME_3,LEVEL_2
577,NO,YES,GAME_1,LEVEL_4
578,NO,YES,GAME_2,LEVEL_2
579,NO,YES,GAME_1,LEVEL_4
580,NO,YES,GAME_1,LEVEL_4
581,NO,YES,GAME_1,LEVEL_4
582,NO,YES,GAME_1,LEVEL_4
583,NO,YES,GAME_2,LEVEL_2
584,NO,YES,GAME_2,LEVEL_2
585,NO,YES,GAME_3,LEVEL_2
586,NO,YES,GAME_1,LEVEL_4
587,NO,YES,GAME_1,LEVEL_4
588,NO,YES,GAME_3,LEVEL_2
589,NO,YES,GAME_4,LEVEL_3
590,NO,YES,GAME_1,LEVEL_4
591,NO,YES,GAME_1,LEVEL_4
592,NO,YES,GAME_3,LEVEL_2
593,NO,YES,GAME_2,LEVEL_2
594,NO,YES,GAME_3,LEVEL_2
595,NO,YES,GAME_4,LEVEL_3
596,NO,YES,GAME_1,LEVEL_4
597,NO,YES,GAME_3,LEVEL_2
598,YES,YES,GAME_3,LEVEL_2
599,NO,YES,GAME_1,LEVEL_4
600,NO,YES,GAME_3,LEVEL_2
601,YES,YES,GAME_1,LEVEL_2
602,NO,YES,GAME_1,LEVEL_4
603,NO,YES,GAME_2,LEVEL_2
604,NO,YES,GAME_3,LEVEL_2
605,NO,YES,GAME_1,LEVEL_4
606,YES,YES,GAME_1,LEVEL_2
607,YES,YES,GAME_1,LEVEL_2
608,NO,YES,GAME_1,LEVEL_4
609,NO,YES,GAME_1,LEVEL_4
610,NO,YES,GAME_3,LEVEL_2
611,NO,YES,GAME_1,LEVEL_4
612,YES,YES,GAME_3,LEVEL_2
613,YES,YES,GAME_2,LEVEL_2
614,NO,YES,GAME_1,LEVEL_4
615,NO,YES,GAME_1,LEVEL_4
616,NO,YES,GAME_3,LEVEL_2
617,NO,YES,GAME_2,LEVEL_2
618,NO,YES,GAME_1,LEVEL_4
619,NO,YES,GAME_1,LEVEL_4
620,NO,YES,GAME_1,LEVEL_4
621,NO,YES,GAME_3,LEVEL_2
622,NO,YES,GAME_3,LEVEL_2
623,NO,YES,GAME_3,LEVEL_2
624,YES,YES,GAME_3,LEVEL_2
625,YES,YES,GAME_1,LEVEL_2
626,YES,YES,GAME_1,LEVEL_2
627,NO,YES,GAME_3,LEVEL_2
628,NO,YES,GAME_1,LEVEL_4
629,NO,YES,GAME_3,LEVEL_2
630,YES,YES,GAME_2,LEVEL_2
631,NO,YES,GAME_2,LEVEL_2
632,YES,YES,GAME_1,LEVEL_2
633,NO,YES,GAME_1,LEVEL_4
